Schema	Schema URI	Schema Prefix	Class	Parent Class	Label	Alternative Labels	Mappings	Attribute Name	Description	Data Type	Limits	Comment
			InformationEntity					qualifiedContribution	A specific contribution made by some Agent to the creation, modification, or validation of the information represented in the Information Entity.	Contribution	0..*	This attribute points to a Contribution object, which holds a structured description of the actions taken by a particular agent in contributing to an Information Entity.
			InformationEntity					dateAuthored	The date the information content expressed in this entity was generated.	dateTime	0..1	We use the term 'authored' to refer to the generation of information in the abstract - i.e. the information content expressed in a Statement, not a concrete encoding of it in a specific language or format.  The 'dateAuthored' attribute captures when this abstract information content was first created.  Information about when a particular concrete encoding of this information was created (e.g. as a VA-based json object) would live in a RecordMetadata object attached to the Information Entity).
			InformationEntity					wasSpecifiedBy	A plan specification that describes all or part of the process through which the information was generated.  	Method	0..*	Depending on the type of plan spcification, these may be called 'protocols', 'guidelines', 'methods', 'rule sets', etc.
			InformationEntity				DC:source	derivedFrom	An information resource from which the Information Entity is derived, in whole or in part	InformationEntity	0..*	
			InformationEntity					wasOutputOf	An activity that generated the Entity.	Activity	0..*	
			InformationEntity					hasPart	Any part of the Information Entity (e.g. individual value or record from a larger data set, a section of a larger document)	InformationEntity	0..*	
			InformationEntity					partOf	A larger Information Entity of which the present Information Entity is a part.	InformationEntity	0..*	
			InformationEntity					isReportedIn	A document in which the information content carried by the Information Entity is expressed	Document	0..*	This attribute is used specifically to reference documents/publications where the Information Entity is expressed or reported.  For a Statement, this might be a publication where the authors express the statement in text.  For a Data Item, this might be a publication with a table or figure that reports the value of the  data.   Note that the VA-Spec provide separate attributes for describing different types of 'references' from an Information Entity to a Document (e.g. hasEvidenceFromSource is used by a Statement to reference a Document that provided evidence for the knowldege the Statement expresses.
			InformationEntity					confidenceLevel	A qualitative term describing of degree of confidence held by the creator of the information entity, that the information it represents is true (e.g. 'high confidence', 'likely true', 'low confidence').	Coding	0..1	
			InformationEntity					confidenceScore	A quantitative score reflecting the degree of confidence held by the creator of the information entity, that the information it represents is true.	DataItem	0..1	
			InformationEntity					version	The version of the Information Entity (to be used in cases where version is not reflected in the id or identifiers associated with the entity).	string	0..1	Note that this attribute captures the version of the abstract information content that comproses the Information Entity - in cases where updated versions of the entity are released.  Versioning of specific concrete records/encodings of the information in a particular format/syntax are to be captured in the recordVersion field of a RecordMeadata object associated with the Information Entity.
			InformationEntity					license	The type of license that dictates legal permissions for how a resource (e.g. dataset, document, protocol) can be used - typically referenced by its URL.	string	0..1	
			DataItem	Information Entity	Data Item		IAO:0000027		An InformationEntity representing an individual piece of data, generated/acquired through methods which reliably produce truthful information about something.			Examples include raw observations or measurements such as an allele count, or patient's weight, derived calculations such as frequency or mean, and computed statistical scores/metrics such as p-values and z-scores.
			DataItem					dataItemType	A more specific type/category of information the data item represents (e.g. an event count, a patient weight, an allele frequency, a p-value)	Coding	0..*	
			DataItem					value	The value of the data item	string	1..1	
			DataItem					unit	A unit of measure for the value	Coding	0..1	
			DataItem					variability	A score describing the variability inherent in a data item representing a statistical summary of a set of observations/measurements (e.g. the standard deviation associated with a statistical mean calculated across several experimental replicates).	Data Item	0..*	Examples of statistical measures of variability include an Interquartile Range, Variance, Standard Deviation, Standard Error. 
			DataItem					confidenceInterval	A measure of the probability that a parameter of interest will fall within a defined range of values around a mean or other statistical calculation.	DataItem	0..1	Confidence intervals reflect the degree of uncertainty in a sampling method. They may be bounded on one or both sides, and are  computed for a designated confidence level (most often 95% or 99%.  Example: A Hazard Ratio of 0.47 might have a 95% confidence interval between 0.34 and 0.65, wiht a p-value of = 0.001.
			DataItem					componentDataItem	A more foundational data item that is a logical component of a compound data item.	DataItem	0..*	Examples of 'compound' data items with componet parts include a confidence interval, which is comprised of data items representing its lower and upper bounds, and a blood pressure reading, which is comprised of separate systolic and diastolic measurements.
			DataSet	Information Entity	Data Set		IAO:0000100		A collection of related data items or records that are organized together in a common format or structure, to enable their computational manipulation as a unit.			Examples include the Broad ExAC dataset on allele population frequency, or a SIFT dataset of computational predictions functional impact for a set of variants, or the contents of a VCF file that describes variations observed in a particular patient and various annotations made on them. 
			DataSet					dataSetType	A more specific type of data set the entity represents.	Coding	0..*	The recorded type is typically based on the nature of the data in the dataset, and what it describes (e.g. genomic sequence dataset, genome feature annotation dataset) .
			DataSet					dataSetLevel	The level at which the Data Set is considered and described ('Summary' level, 'Version' level, or 'Distribution' level - see https://www.w3.org/TR/hcls-dataset/#datasetdescriptionlevels)	Coding	0..1	The VA model adopts the W3C HCLS DataSet Model view that DataSets can be considered and described at three levels:  - A 'Summary' level considers the Data Set at the most abstract/general level, independent of a specific version or format. - A 'Version' level considers a specific version of a Data Set, which may acquire version-specific characteristics (e.g. a release date). - A 'Distribution' level considers a specific format/encoding of a dataset version, which may acquire distribution-specific characteristics (e.g. a format, or downloadURL). The attributes defiend for the DataSet object may apply to all or only specific levels - as noted in comments for each attribute.
			DataSet					releaseDate	The date when a version-level Data Set was released.	dateTime	0..1	This attribute may apply to version and distribution-level Data Set representations.
			DataSet					license	The type of license that dictates legal permissions for how the Data Set can be used - typically referenced by its URL.	string	0..1	The VA Model can record license information for resources such as Data Sets and Documents that get published and released as a unit for community use. This attribute may apply to summary, version, and distribution-level Data Set representations. 
			DataSet					version	The version of the Data Set (use this field used in cases where version is not reflected in an identifier associated with the Data Set)	string	0..1	The VA Model can record version information for resources such as Data Sets and Documents that get published and released as a unit for community use. These may go through rounds of revisions that add or modify content, but don’t change the identity of the resource.  This attribute may apply to version and distribution-level Data Set representations. 
			DataSet					previousVersion	A version-level Data Set representing the version described here. 	DataSet	0..1	This attribute may apply to version and distribution-level Data Set representations. 
			DataSet					currentVersion	A version-level Data Set representing the most current version at the time of recording.	DataSet	0..1	This attribute may apply to version and distribution-level Data Set representations. 
			DataSet					format	A specific representational format used to encode a distribution-level Dataset. 	string	0..1	This attribute may apply to  distribution-level Data Set representations. 
			DataSet					conformsTo	A community standard that is used in representing any of the data in the Data Set (e.g. an ontology or code system from which enumerated values are drawn, a standard data model used to structure the representation).	string	0..*	This attribute may apply to summary, version, and distribution-level Data Set representations. 
			Document	Information Entity	Document		IAO:0000310		A collection of information, usually in human-readable form, intended to be read and understood together as a whole.			
			Document					documentType	The specific type of the document (e.g.  'publication', 'patent', 'pathology report')	Coding	0..*	
			Document					title	The given title of the document.	string	0..1	
			Document					license	The type of license that dictates legal permissions for how the Document can be used - typically referenced by its URL.	string	0..1	The VA Model can record license information for resources such as Data Sets and Documents that get published and released as a unit for community use.
			Document					version	The version of the Document (use this field used in cases where version is not reflected in an identifier associated with the Document)	string	0..1	The VA Model can record version information for resources such as Data Sets and Documents that get published and released as a unit for community use. These may go through rounds of revisions that add or modify content, but don’t change the identity of the resource. 
			Statement	Information Entity	Statement	Assertion; Claim	SEPIO:0000174		An information entity expressing a declarative sentence that is either true or false.			In the VA model, each assertion of knowledge about a variant is captured in a self-contained Statement object. The semantics of what is asserted to be true is explicitly structured in terms of a subject, predicate, object, and qualifier(s). Organization of variant knowledge into discrete Statement objects allows clear and precise tracking of the evidence and provenance that supports each.
			Statement					statementType	A more specific type of Statement about a genetic variation (e.g. a Variant Pathogenicity Statement, or Molecular Consequence Statement)	Coding	0..*	
			Statement					subject	The Entity about which the Statement is made.	Entity	1..1	The VA Core model is domain-agnsotic, and supports Statements/Propositions about any tyep of Entity.  Typically this will be a genetic varition - but data creators may want to make Statements/Propositions about other entities that represent evidence for a Statement about variation (e.g. a statement that a gene is valid for some disease is one type of evidence that may support the pathogenicity of a variant that affects that gene).
			Statement					predicate	The relationship asserted to hold between the subject and the object of the Statement.	Coding	1..1	The VA-Spec uses value sets to hold the types of relationships that may be described in a particular type of Statement. The core specification itself is domain agnostic, and does not define Codings for any specific types of relationships.  When applied to represent a particular type of Statement (via 'Profiling'), implementers can define predicates for the relationships relevant in the domain. For example, in a Statement about the pathogenicity of a variant, the predicate value set might include codings for 'pathogenic for', 'benign for', and 'uncertain significance for' relationships.
			Statement					object	An Entity, concept, or value that is related to the subject of a Statement via its predicate.	Element	1..1	The object of a Statement can be an Entity that describes or is related to the subject Variation (e.g. a Drug, a Genetic Condition, a Study Result), a Coding from a value set representing some concept in the domain of discourse, or some quantitative value about the Variation.  'Element' covers any type of element in the model.
			Statement					qualifier	A value or concept that extends or refines the meaning of the claim expressed in the core subject - predicate - object 'triple' - e.g. by providing additional information/detail, or constraining the claim to apply in a particular context.	Element	0..*	The qualifier attribute allows representation of more complex, n-ary expressions that may not be accommodated by a simple subject-predicate-object triple. For example, if this triple asserts that 'Variant X' - predicts sensitivity to - 'Drug Y', a qualifier can be used to indicate that this applies in the context of a particular 'Disease Z'.  Qualifiers can also add information that 'quantifies' a Statement - e.g. for a Statement triple asserting that a 'Variant X'- causes - 'Phenotype Y', a qualifier can be used to add penetrance information that quantifies the percentage of carriers in which the phenotype is observed to manifest.
			Statement					assertedProposition	The possible fact (proposition) that the Statement puts forth as true.	Proposition	0..1	This attribute provides the option of representing the semantics of what a Statement asserts to be true (its 'proposition') in a separate 'Proposition' object.  This is an alternative modeling pattern that encapsulates the subject, predicate, object, and any qualifier attributes of a Statement inside a separate Proposition object - which that can be identified and referenced from other objects related to it (e.g. from a Statements that assert it to be true, or an Evidence Line that weighs evidence against it).
			Statement					negated	A boolean flag set to 'true' if the statement expressed by the subject, predicate, object, and qualifier(s) is explicitly asserted to be false.	boolean	0..1	Along with the 'subject', predicate', 'object', and 'qualifier' attributes, the 'negated' element contributes to the semantics of what a Statement asserts to be true.  Accordingly, it would get encapsulsted in a Proposition object with these other other attributes in a Proposition-based approach.
			Statement					evidenceLevel	A term indicating the overall strength of support for the Statement based on all evidence assessed.	Coding	0..1	
			Statement					evidenceScore	A quantitative score reflecting the overall strength of support for the Statement based on all evidence assessed.	DataItem	0..1	
			Statement					hasEvidenceLine	A discrete, independent argument relevant to the validity of the Proposition put forth as true in the Statement, that is based on the interpretation of one or more pieces of information as evidence.	EvidenceLine	0..*	Evidence Lines result from the interpretation of one or more pieces of information to build an argument for or against a particular Proposition. These arguments have direction (supporting / disputing) and strength (e.g. strong, moderate, weak) relative to the Proposition they are evaluated against. For example, ExaC allele counts and frequency calculations for the BRCA2 c.8023A>G variant in different populations may be collectively assessed to provide an argument of moderate strength in support of a Proposition that the variant is pathogenicity for breast cancer.
			Statement					hasEvidence	A piece of information that represents or contributes to an argument for or against the validity of a Statement.	InformationEntity	0..*	Evidence is any information that is interpreted in assessing the truth of  the proposition a Statement puts forth as true.  A piece of information only becomes evidence when it is interpreted in this way. Different types and scales of information entity can be used and cited as evidence, including direct observation or measurement data, derived statistical calculations, data tables or figures in a publication, conclusions/findings from a particular study, or prior assertions of knowledge  that themselves are based on their own set of evidence.  This is a shortcut relation that links a Statement directly to a piece of evidnece supporting it, to be used data creators cannot or do not wich to create an Evidence Line between them.
			Statement					hasEvidenceOfType	A term describing a *type* of evidence used to support a Statement (e.g. 'sequence similarity evidence', 'in vitro assay evidence') - as opposed to *instances* of evidence information such as a specific data value, or prior assertions, etc.	Coding	0..*	The VA-Spec recommends the use of terms from ontologies such as the Evidence and Conclusion Ontology (ECO) to describe specific types of evidence. 
			Statement					hasEvidenceFromSource	An Information Entity (typically a publication, dataset, or database) that reports information interpreted as evidence to make the Statement.	InformationEntity	0..*	This is a 'shortcut relation' that can be used to directly link a Statement to sources that provided evidence supporting/disputing it, without having to represent those Evidence Items directly. 
			Statement					subjectDescriptor	A collection of additional metadata about the subject of the Statement's proposition, that cannot represented in its value object based representation, but may be useful for understanding and use of the subject entity (e.g. labels, xrefs, aliases, and other subjective/context specific information)	Descriptor	0..1	See the VRSATILE Value Object Descriptor Specification for more detail about this modeling approach: https://vrsatile.readthedocs.io/en/latest/value_object_descriptor/index.html
			Statement					objectDescriptor	A collection of additional metadata about the object of the Statement's proposition, that cannot represented in its value object based representation, but may be useful for understanding and use of the subject entity (e.g. labels, xrefs, aliases, and other subjective/context specific information)	Descriptor	0..1	See the VRSATILE Value Object Descriptor Specification for more detail about this modeling approach: https://vrsatile.readthedocs.io/en/latest/value_object_descriptor/index.html
			Statement					qualifierDescriptor	A collection of additional metadata about an entity/concept that qualifies the Statement's proposition. This additional metadata cannot represented in its value object based representation, but may be useful for understanding and use of the subject entity (e.g. labels, xrefs, aliases, and other subjective/context specific information)	Descriptor	0..*	See the VRSATILE Value Object Descriptor Specification for more detail about this modeling approach: https://vrsatile.readthedocs.io/en/latest/value_object_descriptor/index.html
			StudyResult	Information Entity	Study Result				 A collection of select data items from a single study that are about a particular subject or experimental unit within the study -  including provenance metadata describing how this data was generated. 			StudyResult objects end up being a very flexible and useful way to summarize the salient data/metadata from a larger study that is specifically useful as evidence in curation workflows aimed at generating higher order knowledge about a particular variant or other entity. For example, a specific subset of allele frequency data/metadata concerning a particular variant of interest in the Gnomad dataset can be summarized in a Study Result object, and referenced as evidence for a higher-order Statement about the variant's pathogenicity that relied on this frequency data for support. 
			StudyResult					studyResultType	A more specific type of study result this object may represent (e.g. an 'Allele Frequency Study Result')	Coding	0..*	
			StudyResult					focus	The specific subject, concept, or experimental unit in the Research Study that data in the Result is about. The focus guides the selection of data that is included within a single Study Result object.	Entity	0..*	The value of this field explains why the sleected data as included in the Study Result - because it all pertains to the 'focus' of the curator when creating it.  
			StudyResult					data	A piece of data from the source Study that is included in the Result, and pertains to the entity that is the 'focus'. Can be data directly about the focus, or metadata relevant to how this data was generated.	DataItem	0..*	
			StudyResult					interpretation	A qualitative interpretation of the lower-level data item(s) included in the result (e.g. that a result is high, normal, or low). 	Coding	0..1	This field allows basic interpretations / classifications to be included in a Study Result, such as binning a result as in or out of a normal range.
			StudyResult					sourceDataSet	A larger Data Set from which the content of the Result was derived.	DataSet	0..*	
			StudyResult					sourceStudy	The Study that generated the date reported in the Result.	Research Study	0..1	
			StudyResult					sourceStudyType	The type of study that produced the result (e.g. 'allele population frequency study', 'computational functional impact prediction', 'protein functional assay', 'randomized clinical trial')	Coding	0..1	This is a shortcut relationship that can be used to capture the type of source study in models that don't represent the Study itself as an object in the data. 
			StudyResult					sourceStudyDate	The date the study from which the Result was derived was performed.	dateTime	0..1	This is a shortcut relationship that can be used to capture the date of the source study in models that don't represent the Study itself as an object in the data. 
			StudyResult					sourceStudyMethod	A plan specification that describes all or part of the process that created the information (e.g. interpretation guidelines, rule sets, etc.).	Method	0..*	This is a shortcut relationship that can be used to capture methods applied in the source study in models that don't represent the Study itself as an object in the data. 
			EvidenceLine	Information Entity	Evidence Line		SEPIO:0000002		A discrete, independent argument relevant to the validity of the Proposition put forth as true in the Statement,  that is based on the interpretation of one or more pieces of information as evidence.			Evidence Lines result from the interpretation of one or more pieces of information (Evidence Items) to build an argument for or against a particular Proposition (possible fact). The Evidence Line that results can be considered a special kind of Statement that asserts the direction and strength such an argument provides for some target Proposition. For example, The various allele counts and frequency calculations for the BRCA2 c.8023A>G variant found in the ExAC database are Evidence Items  that might be collectively assessed by a ClinGen curator to build an Evidence Line that is deemed to 'support' with 'moderate' strength a target proposition that the variant is pathogenic for Breast Cancer.  The narrative form of the Statement represented by this Evidence Line is roughly: "ExAC allele frequency data for BRCA2 c.8023A>G {0.0000021, 0.0000034, ...} provides evidence of moderate strength supporting the proposition that BRCA2 c.8023A>G is pathogenic for Breast Cancer".
			EvidenceLine					evidenceLineType	A more specific type of evidence line this object may represent (e.g. 'mutant phenotype evidence', 'evidence from manual interpretation', 'ACMG PM2 evidence')	Coding	0..*	Data creators may choose to define specific types of evidence lines relevant for their domain/use case, based on the type of evidence items that comprise it, the methodology that guided evidence interpretation, or the type of statement the evidence line supports.  Terms from ontologies like the Evidence and Conclusion Ontology (ECO) can be used as values here. 
			EvidenceLine					targetProposition	The proposition against which the evidence items were evaluated, in determining the overall strength and direction of evidence they provide (as captured in the Evidence Line)	Proposition	0..1	An example based on the ACMG Guidelines for germline variant pathogenicity interpretation: consider a curator assessing the evidence provided by population frequency data for a specific variant based on the ACMG criteria.  In order to assign a strength (e.g. moderate, strong) and direction (PM2 or  BS1) to this data as evidence, there must be some 'target proposition' toward which the evidence is assessed. If the PM2 criteria is deemed 'met', this indicates that the population frequency evidence supports with moderate strength the target proposition that the variant is pathogenic for the disease of interest. 
			EvidenceLine					hasEvidenceItem	An Information Entity that supports the argument that the Evidence Line Represents.	InformationEntity	0..*	A given Evidence Line might be suported by one or many individual pieces of evidence. Different types or scales of information entity can serve as evidence - but only when it realizes this role do we call it an 'Evidence Item'. For example, a piece of population frequency data about BRCA2 c.8023A>G  becomes an Evidence Item when it is assessed as evidence (e.g. for the variant’s pathogenicity - and thus contributes to an argument for (or against) this target proposition.
			EvidenceLine					evidenceDirection	The direction of support that the Evidence Line is determined to provide for its target Proposition (can be supporting, disputing, or neutral)	Coding	0..1	
			EvidenceLine					evidenceStrength	The strength of support that an Evidence Line is determined to provide for or against its target Proposition.	Coding	0..1	
			EvidenceLine					evidenceItemSource	An information resource (e.g. document, dataset, knowledgebase) that provided information interpreted as evidence in building an Evidence Line.	InformationEntity	0..*	This is a 'shortcut relation' that can be used to directly link an Evidence Line to sources of its supporting Evidence Items, without having to represent those Evidence Items directly. 
			Method	Information Entity	Method		IAO:0000104		A set of instructions that specify how to achieve some objective (e.g. study/experimental protocols, curation guidelines, rule sets, etc.)			Methods guide human or computational agents by specifying what actions to perform and how to do so.  Examples include research protocols specifying how to execute studies or experiments to generate data, and guidelines for data curation or interpretation that specify how information can be organized, evaluated, and interpreted to generate evidence-based assertions.
			Method					methodType	A more specific type of entity the method represents (e.g. Variant Interpretation Guideline, Experimental Protocol)	Coding	0..*	
			Activity	Entity	Activity		PROV:Activity | OBI:0000011		An action or set of actions performed by an agent, that occurs over a period of time. Activities may use, generate, modify, move, or destroy one or more entities.  			Activities relevant to scientific knowledge generation including things like designing and performing experiments, data analysis and transfomration, publishing research results, data curation and interpretation, observations of the natural world, and assessment and treatment of patients in clinical settings.  These activities produce information that gets encoded in sharable artifacts used to generate scientific knowledge. Agents can play different types of roles in the generation and use of such artifacts.
			Activity					activityType	A more specific type of activity this object may represent	Coding	0..*	
			Activity					startDate	The date that the Activity started	dateTime	0..1	The model provides startDate and endDate attributes to allow precise reporting of the time an Activity occurred. Implementations wishing to specify a single time should simply report the date and/or time that the contribution ended. An empty startDate means that the start time is unknown or unspecified.
			Activity					endDate	The date that the Activity ended	dateTime	0..1	
			Activity					performedBy	An Agent taking part in executing the Activity.	Agent	0..*	
			Activity					hadInput	An entity that was input into the Activity (could be material or information)	Entity	0..*	
			Activity					hadOutput	An entity that was output from the Activity (could be material or information)	Entity	0..*	
			Activity					wasSpecifiedBy	A directive specification followed in performing an Activity, that describes how it should be executed. 	Method	0..*	
			Activity					hasPart	A smaller, discrete Activity that is part of this larger Activity	Activity	0..*	
			Activity					partOf	A larger Activity of which this Activity is a part (i.e. it was performed during the larger Activity)	Activity	0..*	
			ResearchStudy	Activity	Research Study		SEPIO:0000125		An activity that applies a defined methodological approach to interrogate a specific set of subjects, and generate data that is analyzed and interpreted to answer a particular research question (typically the validation or generation of hypothesis)                                			This is a stub for a basic model of a Study that will be developed in future iterations of the specification.  At present, adopters can plug their own model of research studies in here. 
			ResearchStudy	Activity				researchStudyType	A more specific type of study this object may represent.	Coding	0..*	
			Contribution	Activity	Contribution		CAM:Contribution		The actions taken by a particular agent in the creation, modification, assessment, or deprecation of some entity (e.g. a Statement, Evidence Line, Data Item, Publication, etc.)			The scope of a given Contribution instance includes only the actions of a single agent in contributing to a single artifact.  The agent can be an individual, or a group or organization of individuals acting together to make the contribution. Contribution instances are used to organize information about when, where, how (e.g. what roles were played), and on whose behalf these actions were performed.
			Contribution					contributionMadeBy	The agent that made the contribution.	Agent	0..1	
			Contribution					contributionMadeTo	The artifact toward which the contribution was made.	InformationEntity	0..1	
			Contribution					contributorRole	A role indicating the nature of the contribution made by the Agent - i.e. the specific type of contribution that was made.	Coding	0..*	Data cretos can define terms for the specific roles relevant to their use case/application, and/oir re-use roles defined in the Contribution Role Ontology (CRO).  Note that if the same Agent played multiple roles in contibuting to some artifact, they may all be captured in a single Contribution instance. However, if data creators want to provide metadata specific to each role (e.g. when or where each role was played), then a separate Contribution objects should be created for each role.
			Contribution					organizationalContext	An organization whose resources and/or directives supported the contribution made by an Agent.	Affiliation	0..*	The Affiliation object holds details about an Agent's status/position in a particular Organization on whose behalf they were acting when they made the Contribution.
			Agent	Entity	Agent		CAM:Agent		An autonomous actor (person, organization, or computational agent) that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent’s activity.			This is a stub for a basic model of an Agent that may be developed in future iterations of the specification.  At present, adopters can plug their own model of Agents in here. 
			Agent					agentType	A more specific type of Agent the entity represents. Must be one of {Person, Organization, Software Agent}	Coding	0..1	At present, there are no named subtypes representing the three high level subtypes of Agent (Person, Organization, or Software Agent). If it is determined that there are unique properties that need to be defined for these subtypes, separate classes may be created. 
			Agent					softwareVersion	For software/computational agents, the specific version of the software it represents. 	string	0..1	
			Agent					hasAffiliation	A membership relation between the Agent and an Organization to which they belong or at one time belonged.	Affiliation	0..*	
			Agent					parentOrganization	A larger Organization of which this Organization is a part	Agent	0..*	Agent.agentType value of the referenced Agent should be set to 'Organization'
			Agent					childOrganization	A smaller Organization that is a part of this larger one	Agent	0..*	Agent.agentType value of the referenced Agent should be set to 'Organization'
			Proposition	Entity	Proposition		SEPIO:0000000		An abstract entity representing the sharable meaning that can be put forth as true in a Statement made by an Agent. 			Propositions are taken to represent the semantic content of sentences or larger lexical entities formulated in some natural or artificial language. As primary bearers of truth, they are either true or false. They are abstract entities whose identity and existence are independent of space and time, and of whether they are ever asserted to be true by some agent. Propositions are ‘sharable’ in the sense that the same Proposition instance can be expressed in many different Statements, as made by different Agents and/or on different occasions.
			Proposition					propositionType	A more specific type of Proposition about a genetic variation (e.g. a Variant Pathogenicity Proposition, or Molecular Consequence Proposition)	Coding	0..*	
			Proposition					subject	The Entity about which the Proposition is made.	Entity	1..1	The VA Core model is domain-agnsotic, and supports Statements/Propositions about any tyep of Entity.  Typically this will be a genetic varition - but data creators may want to make Statements/Propositions about other entities that represent evidence for a Statement about variation (e.g. a statement that a gene is valid for some disease is one type of evidence that may support the pathogenicity of a variant that affects that gene).
			Proposition					predicate	The relationship asserted to hold between the subject and the object of the Proposition.	Coding	1..1	The VA-Spec uses value sets to hold the types of relationships that may be described in a particular type of Statement. The core specification itself is domain agnostic, and does not define Codings for any specific types of relationships.  When applied to represent a particular type of Proposition (via 'Profiling'), implementers can define predicates for the relationships relevant in the domain. For example, in a Proposition about the pathogenicity of a variant, the predicate value set might include codings for 'pathogenic for', 'benign for', and 'uncertain significance for' relationships.
			Proposition					object	An Entity, concept, or value that is related to the subject of a Proposition via its predicate.	Element	1..1	The object of a Proposition can be an Entity that describes or is related to the subject Variation (e.g. a Drug, a Genetic Condition, a Study Result), a Coding from a value set representing some concept in the domain of discourse, or some quantitative value about the Variation.  'Element' covers any type of element in the model.
			Proposition					qualifier	A value or concept that extends or refines the meaning of the Proposition expressed by the core subject - predicate - object 'triple' - e.g. by providing additional information/detail, or constraining the claim to apply in a particular context. 	Element	0..*	Qualifiers allow representation of more complex, n-ary expressions that may not be accommodated by a simple S-P-O triple. For example, if a triple asserts that Variant X - is associated with sensitivity to - Drug Y, a qualifier can be used to indicate that this applies in the context of a particular treated Condition Z.
			Proposition					negated	A boolean flag set to 'true' if the statement expressed by the subject, predicate, object, and qualifier(s) is explicitly asserted to be false.	boolean	0..1	Along with the 'subject', predicate', 'object', and 'qualifier' attributes, the 'negated' element contributes to the semantics of the 'possible fact' that a Proposition expresses.  
			Affiliation	Entity	Affiliation				A relationship between an Agent and a Group or Organization to which they belong or belonged.			
			Affiliation					member	The Agent participating in the Affiliation	Agent	1..1	The Affiliation object is scoped to define the relationship between one Agent and one Organization, over a specified period of time.  A given Agent may participate in more than on Affiliation with the same Organization, if they held different roles/positions/statuses at different times.
			Affiliation					organization	The Organization to which the Agent belongs or belonged.	Agent	1..1	Here the Agent referenced should be an Organization (Agent.agentType = 'Organization')
			Affiliation					organizationalRole	An official position or role held by the Agent in the Organization during the span of the defined Affiliation (e.g. graduate student, principle investigator, curator, physician, expert panel member)	Coding	0..*	
			Affiliation					affiliationStatus	The status of the Agent's affiliation at the time the Affiliation record was created  or last updated (e.g. active, pending, probation, inactive)	Coding	0..1	
			Affiliation					startDate	The date that the Affiliation described here began (where a organizational role is provided, this is the date when this role in the organization began)	dateTime	0..1	If a specific organizational role and/or status are reported, the startDate indicates when this particular role/status began.  
